nsbpid,nsbsid,nsinconset,nsgpslat,nsgpslong,nsmalename,nsfemalename,nseggs,nschicks,nsfledglings,nsoffspring,nschickid1,nschickid2,nschickid3,nspredationtype,nsnestnomale,nsnestnofemale,m_bicohort,m_biageclass,f_bicohort,f_biageclass,m_bibandcombo,f_bibandcombo
DraPan,2016/2017,21,-41.29913704,174.745258,Draco,Pansy,3,3,3,3,BP13838,BP13839,BP13840,None,2,2,2014/2015,P,2014/2015,A,GW-GM,BG-GM
DraPan,2017/2018,17,-41.299562,174.745617,Draco,Pansy,2,1,1,1,BP11375,,,None,1,1,2014/2015,P,2014/2015,A,GW-GM,BG-GM
DroLol,2022/2023,81,-41.29847,174.74725,Dropsy,Lolly,2,2,1,1,BP24571,,,None,3,2,2020/2021,FL,UNKNOWN,,BG-PM,UNKNOWN
DroSly,2021/2022,79,-41.29861,174.74699,Dropsy,Sly,2,2,2,2,BP22862,BP22863,,None,1,2,2020/2021,FL,2021/2022,J,BG-PM,PM-YG
DroSly,2022/2023,32,-41.29845,174.74673,Dropsy,Sly,2,1,0,0,,,,C,1,1,2020/2021,FL,2021/2022,J,BG-PM,PM-YG
DroSly,2022/2023,35,-41.2985,174.74716,Dropsy,Sly,2,2,0,0,,,,C,2,2,2020/2021,FL,2021/2022,J,BG-PM,PM-YG
DucHav,2022/2023,40,-41.3004,174.74451,Duck,Havana,2,2,2,1,BP24543,,,None,1,1,2017/2018,A,2020/2021,P,PGM-OW,YG-PM
DucMad,2020/2021,19,-41.30047001,174.744376,Duck,Madonna,2,2,1,0,NA,,,None,1,1,2017/2018,A,2015/2016,A,PGM-OW,PBM-WK
DucMad,2020/2021,70,-41.30047001,174.744376,Duck,Madonna,3,3,3,3,BP22764,BP22765,UB00002,None,2,2,2017/2018,A,2015/2016,A,PGM-OW,PBM-WK
DucMad,2021/2022,23,-41.3002,174.74431,Duck,Madonna,2,0,0,0,NA,,,E,1,1,2017/2018,A,2015/2016,A,PGM-OW,PBM-WK
DucMad,2021/2022,39,-41.30035,174.74449,Duck,Madonna,3,0,0,0,NA,,,E,2,2,2017/2018,A,2015/2016,A,PGM-OW,PBM-WK
DucMad,2021/2022,62,-41.30047,174.74438,Duck,Madonna,3,0,0,0,NA,,,E,3,3,2017/2018,A,2015/2016,A,PGM-OW,PBM-WK
DucMad,2021/2022,90,-41.30036,174.74454,Duck,Madonna,3,3,0,0,BP22870,BP22871,BP22872,C,4,4,2017/2018,A,2015/2016,A,PGM-OW,PBM-WK
DucSky,2019/2020,0,-41.30039499,174.744446,Duck,Sky,2,0,0,0,,,,E,1,1,2017/2018,A,2017/2018,P,PGM-OW,PBPB-PGM
DucSky,2019/2020,0,-41.30030204,174.744428,Duck,Sky,2,0,0,0,,,,E,2,2,2017/2018,A,2017/2018,P,PGM-OW,PBPB-PGM
DucSky,2019/2020,88,-41.30021998,174.744532,Duck,Sky,3,3,1,0,BP19462,BP19463,,C,3,3,2017/2018,A,2017/2018,P,PGM-OW,PBPB-PGM
DucTai,2018/2019,6,-41.30089296,174.74423,Duck,Tails,2,1,1,1,BP17529,,,None,1,1,2017/2018,A,2015/2016,A,PGM-OW,xx-PBM
DucTai,2018/2019,63,-41.30103101,174.744379,Duck,Tails,3,3,1,1,BP19309,BP19310,BP19311,None,2,2,2017/2018,A,2015/2016,A,PGM-OW,xx-PBM
DumGin,2022/2023,51,-41.30094,174.74432,Dumpling,Ginger,2,0,0,0,,,,None,2,2,2020/2021,A,2021/2022,A,GR-PM,WS-GM
DumGin,2022/2023,80,-41.30073,174.74406,Dumpling,Ginger,2,0,0,0,,,,None,3,3,2020/2021,A,2021/2022,A,GR-PM,WS-GM
DumJun,2021/2022,30,-41.30118,174.7444,Dumpling,Junebug,2,2,0,0,NA,,,None,1,1,2020/2021,A,2020/2021,P,GR-PM,PM-RR
DumNoo,2022/2023,6,-41.30077,174.74431,Dumpling,Noodle,2,2,0,0,,,,C,1,1,2020/2021,A,2021/2022,P,GR-PM,RG-GM
EdiLas,2014/2015,9,-41.297334,174.746427,Edison,Lass,2,2,2,1,B100093,B100094,,None,1,1,2012/2013,A+,2012/2013,A,BB-YM,WB-YM
EdiSco,2017/2018,34,-41.29740098,174.74628,Edison,Scout,2,2,2,2,BP11393,BP11394,,None,1,1,2012/2013,A+,2015/2016,A,BB-YM,YW-WM
EdiTot,2015/2016,21,-41.29754799,174.746398,Edison,Toto,2,2,2,1,BP11316,BP11317,,None,1,1,2012/2013,A+,2014/2015,A,BB-YM,YM-RR
EdiTot,2016/2017,8,-41.29759401,174.746077,Edison,Toto,1,0,0,0,,,,None,1,1,2012/2013,A+,2014/2015,A,BB-YM,YM-RR
EdiTot,2016/2017,56,-41.29754297,174.745929,Edison,Toto,2,0,0,0,,,,None,2,3,2012/2013,A+,2014/2015,A,BB-YM,YM-RR
EdiTot,2016/2017,83,-41.29741598,174.745925,Edison,Toto,3,3,3,1,BP13887,BP13888,BP13889,None,3,4,2012/2013,A+,2014/2015,A,BB-YM,YM-RR
EdwBel,2016/2017,7,-41.29689404,174.74715,Edward,Bella,2,2,2,1,BP13829,BP13830,,None,1,1,2011/2012,A,2013/2014,A,YR-KM,YM-PBR
EdwBel,2016/2017,65,-41.297203,174.747455,Edward,Bella,2,2,2,2,BP13870,BP13871,,None,2,2,2011/2012,A,2013/2014,A,YR-KM,YM-PBR
EdwBel,2017/2018,12,-41.29700602,174.747122,Edward,Bella,2,2,2,2,BP11369,BP11370,,None,1,1,2011/2012,A,2013/2014,A,YR-KM,YM-PBR
EdwBel,2017/2018,60,-41.296945,174.74702,Edward,Bella,2,1,1,1,BP17410,,,None,2,2,2011/2012,A,2013/2014,A,YR-KM,YM-PBR
EdwBel,2018/2019,5,-41.29718204,174.746961,Edward,Bella,2,2,2,2,BP17518,BP17519,,None,1,1,2011/2012,A,2013/2014,A,YR-KM,YM-PBR
EdwBel,2018/2019,57,-41.29720903,174.747034,Edward,Bella,3,3,3,3,BP17592,BP17593,BP17594,None,2,2,2011/2012,A,2013/2014,A,YR-KM,YM-PBR
EdwBun,2019/2020,18,-41.29659003,174.746702,Edward,Bundy,2,1,1,1,BP19389,,,None,1,1,2011/2012,A,2015/2016,P,YR-KM,RFP-PBM
EdwOri,2020/2021,43,-41.29725496,174.747195,Edward,Orio,2,0,0,0,NA,,,None,1,1,2011/2012,A,2018/2019,P,YR-KM,OR-OM
EdwPen,2021/2022,24,-41.29703,174.74716,Edward,Penny,2,2,2,2,BP22835,BP22838,,None,1,1,2011/2012,A,2019/2020,A,YR-KM,YS-SM
EdwPen,2021/2022,77,-41.29725,174.74722,Edward,Penny,2,2,2,1,BP22879,UB00002,,None,2,2,2011/2012,A,2019/2020,A,YR-KM,YS-SM
EdwPen,2022/2023,5,-41.29708,174.74731,Edward,Penny,2,2,2,1,BP24504,,,None,1,1,2011/2012,A,2019/2020,A,YR-KM,YS-SM
EdwPen,2022/2023,63,-41.29704,174.74709,Edward,Penny,3,3,3,3,BP24555,BP24556,BP24563,None,2,2,2011/2012,A,2019/2020,A,YR-KM,YS-SM
ErrMad,2016/2017,34,-41.30066296,174.743256,Erroll,Madonna,2,0,0,0,,,,,1,1,2012/2013,A+,2015/2016,A,YM-YB,PBM-WK
ErrMad,2016/2017,92,-41.30035903,174.743097,Erroll,Madonna,2,0,0,0,,,,E,2,2,2012/2013,A+,2015/2016,A,YM-YB,PBM-WK
ErrMad,2016/2017,74,-41.30049197,174.743018,Erroll,Madonna,3,3,3,2,BP13881,BP13882,BP13883,None,3,3,2012/2013,A+,2015/2016,A,YM-YB,PBM-WK
ErrMad,2017/2018,20,-41.30028502,174.744004,Erroll,Madonna,2,2,2,0,BP11378,BP11379,,None,1,1,2012/2013,A+,2015/2016,A,YM-YB,PBM-WK
ErrMad,2017/2018,74,-41.30046397,174.743347,Erroll,Madonna,2,2,2,1,BP17441,,,None,2,2,2012/2013,A+,2015/2016,A,YM-YB,PBM-WK
ErrPig,2015/2016,22,-41.30014303,174.743276,Erroll,Pigwidgeon,2,2,2,2,BP10190,BP10193,,None,1,1,2012/2013,A+,2014/2015,FL,YM-YB,GM-OW
EwoNee,2014/2015,30,-41.29980197,174.744041,Ewob,Neek,2,2,1,1,BP10166,,,None,1,1,2013/2014,J,2012/2013,A,YM-FPFP,YM-GFP
